au13,year,lma,lma_stability,sub_lma,sub_lma_stability
511301,2001,3,1,1,1
511302,2001,3,1,1,1
511303,2001,3,1,1,1
511401,2001,3,1,1,1
511402,2001,3,1,1,1
511601,2001,3,1,1,1
511602,2001,3,1,1,1
511700,2001,3,1,1,1
511800,2001,3,1,1,1
511901,2001,3,1,1,1
511902,2001,3,1,1,1
512000,2001,3,1,1,1
512100,2001,3,1,1,1
512201,2001,3,1,1,1
512202,2001,3,1,1,1
512300,2001,3,1,1,1
512401,2001,3,1,1,1
512402,2001,3,1,1,1
512500,2001,3,1,1,1
512600,2001,3,1,1,1
512700,2001,3,1,1,1
512801,2001,3,1,1,1
512802,2001,3,1,1,1
512902,2001,3,1,1,1
512903,2001,3,1,1,1
512904,2001,3,1,1,1
512905,2001,3,1,1,1
512906,2001,3,1,1,1
513011,2001,3,1,1,1
513012,2001,3,1,1,1
513013,2001,3,1,1,1
513020,2001,3,1,1,1
513101,2001,3,1,1,1
513102,2001,3,1,1,1
513211,2001,3,1,1,1
513212,2001,3,1,1,1
513213,2001,3,1,1,1
513214,2001,3,1,1,1
513220,2001,3,1,1,1
513301,2001,3,1,1,1
513302,2001,3,1,1,1
513410,2001,3,1,1,1
513420,2001,3,1,1,1
513431,2001,3,1,1,1
513432,2001,3,1,1,1
513511,2001,3,1,1,1
513512,2001,3,1,1,1
513521,2001,3,1,1,1
513522,2001,3,1,1,1
513530,2001,3,1,1,1
513610,2001,3,1,1,1
513621,2001,3,1,1,1
513622,2001,3,1,1,1
513631,2001,3,1,1,1
513632,2001,3,1,1,1
513701,2001,3,1,1,1
513702,2001,3,1,1,1
513800,2001,3,1,1,1
514000,2001,3,1,3,1
514101,2001,3,1,3,1
514102,2001,3,1,3,1
514103,2001,3,1,3,1
514200,2001,3,1,3,1
514301,2001,3,1,3,1
514302,2001,3,1,3,1
514401,2001,3,1,1,0.968
514402,2001,3,1,1,1
514500,2001,3,1,3,1
514600,2001,3,1,1,0.912
514700,2001,3,1,1,0.964
514801,2001,3,1,1,1
514802,2001,3,1,1,1
514900,2001,3,1,3,1
515001,2001,3,1,3,0.964
515002,2001,3,1,3,1
515003,2001,3,1,3,0.96
515100,2001,3,1,3,1
515201,2001,3,1,3,1
515202,2001,3,1,3,1
515301,2001,3,1,3,1
515302,2001,3,1,3,1
515410,2001,3,1,3,1
515420,2001,3,1,3,1
515431,2001,3,1,3,1
515432,2001,3,1,3,1
515500,2001,3,1,3,1
515600,2001,3,1,3,1
515700,2001,3,1,3,1
515801,2001,3,1,3,1
515802,2001,3,1,3,1
515901,2001,3,1,3,1
515902,2001,3,1,3,1
516001,2001,3,1,3,1
516002,2001,3,1,3,1
516003,2001,3,1,3,1
516101,2001,3,1,3,1
516102,2001,3,1,3,1
516201,2001,3,1,3,1
516202,2001,3,1,3,1
516301,2001,3,1,3,1
516302,2001,3,1,3,1
516400,2001,3,1,3,1
516500,2001,3,1,3,1
516601,2001,3,1,3,1
516602,2001,3,1,3,1
516700,2001,3,1,3,1
516800,2001,3,1,3,1
516900,2001,3,1,3,0.968
517001,2001,3,1,4,0.984
517002,2001,3,1,4,0.98
517100,2001,3,1,4,0.988
517201,2001,3,1,4,0.98
517202,2001,3,1,4,0.988
517400,2001,3,1,3,1
517500,2001,3,1,3,1
517600,2001,3,1,3,1
517701,2001,3,1,3,1
517702,2001,3,1,3,1
517703,2001,3,1,3,1
517800,2001,3,1,3,1
517901,2001,3,1,3,0.964
517902,2001,3,1,3,1
517903,2001,3,1,3,1
518101,2001,3,1,3,1
518102,2001,3,1,3,1
518201,2001,3,1,3,1
518202,2001,3,1,3,1
518301,2001,3,1,3,1
518302,2001,3,1,3,1
518500,2001,3,1,3,1
518600,2001,3,1,3,1
518701,2001,3,1,3,1
518702,2001,3,1,4,0.692
518801,2001,3,1,3,1
